,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
57,640.75,339.6881,413.32468,525.8615,431.1484,464.3098,790.16046,567.27386,378.71494,328.54752,1749.1752,651.97363,1079.2642,286.67566,260.89514,437.10614,1093.3435,253.13824,98.36955,113.80289,672.8402,538.2548,1420.6825,261.41006,251.83719,504.6842,121.6666,0
58,831.1411,653.20514,477.89703,615.82245,7026.4297,871.7776,1002.9507,638.1693,493.87372,612.9732,2565.646,1964.3989,4931.091,1621.4009,990.2683,964.3145,1247.599,1107.8276,881.52344,1254.9452,5616.421,1963.3188,3261.404,2207.4985,2069.5566,3349.3127,3082.1533,0
59,629.9341,715.5909,1013.2817,1010.59106,922.77814,897.7791,920.4829,931.24786,2523.2354,844.6425,1909.6045,578.5579,614.2311,520.37177,506.843,843.52734,1335.3533,683.87683,835.2817,621.8162,954.9022,1358.0024,2582.4634,949.49536,692.9643,617.1883,682.8843,0
60,658.4011,563.42944,417.3942,247.59161,356.257,293.15744,463.81372,307.30075,221.69589,232.70724,1994.8448,327.98978,161.40848,167.65993,195.9704,94.39774,118.173965,243.47533,150.37064,203.41754,177.93903,268.7173,1492.4272,382.8808,399.1712,3377.7336,3783.7046,0
61,424.7708,635.8435,433.45908,395.9039,479.66455,403.21283,349.9893,387.20578,506.3648,472.16928,1988.0887,675.1671,717.77747,446.40533,659.67456,474.4666,440.82446,348.32242,329.50275,505.7935,406.56097,504.9664,2235.0378,375.57233,402.3912,402.1614,1027.839,0
62,381.09567,468.08395,259.73666,400.05453,275.10095,222.79395,178.33902,395.27127,540.72797,767.092,2689.6853,728.24164,282.13712,227.81927,773.4665,260.93332,370.3267,414.17377,636.4109,411.59467,299.36258,230.93913,2299.5923,477.59067,440.41916,341.2485,339.81458,0
63,3689.896,2706.7117,2470.8699,1639.4338,725.6223,935.5086,1179.9646,3528.491,1733.2764,3403.275,3168.1836,2176.65,3282.6733,7702.4414,2642.325,4129.855,5443.601,3804.1274,3621.0845,19831.168,8464.757,15031.805,9112.208,6204.7812,7325.608,38664.984,6463.9053,0
64,346.69864,262.3844,1515.987,686.6169,636.1454,333.8985,339.85413,1382.5985,637.4669,671.72675,3507.683,1168.511,1171.4263,691.3441,322.2998,213.73065,348.08633,841.00684,642.77856,1152.0007,251.87257,247.34633,2897.2354,453.66977,238.05998,194.22836,194.80696,0
65,41929.69,59929.812,39488.57,59537.547,20103.93,13951.549,12337.736,54211.758,4982.178,6327.9062,12212.109,3776.0947,2572.636,2811.2441,2027.9114,1012.6244,1553.2827,2528.4102,1138.3201,1402.0614,2757.307,2084.7817,6218.0,2482.2249,1274.4517,1909.1406,1310.6488,0
66,1921.3628,2267.204,2333.908,2574.2349,4424.491,3500.6758,3942.9048,7604.9404,19610.424,5894.373,5223.3022,5715.6865,4251.092,4738.451,3282.4736,4108.4326,3948.9397,4529.869,3098.85,4461.433,2395.253,2701.708,3411.758,3076.9458,3263.3376,3419.0107,2388.5347,0
