,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
14,40790.996,36910.16,38060.285,40150.586,38175.996,34022.652,34976.133,39420.766,41193.508,39725.375,42823.344,34826.418,33790.188,33819.336,36485.637,39134.812,40141.9,32740.152,34861.656,37408.996,36107.492,37924.145,46262.715,39133.043,37648.1,36598.336,35879.18,0
15,33236.297,35074.3,35312.605,29982.947,31610.734,26691.734,27488.87,29739.654,26794.59,26704.045,28263.145,25527.262,25980.814,31008.723,31897.309,30867.15,33304.22,31323.365,33272.895,32385.621,31599.94,29996.055,31763.938,32502.865,34795.203,30970.586,30492.473,0
16,28734.336,31056.15,29898.814,28512.42,26453.113,28018.584,32096.594,27962.59,28799.164,26677.662,30821.164,31153.174,33635.52,29634.373,28933.047,32660.695,32454.447,31844.164,34256.16,30352.127,29556.412,26241.9,31385.088,32726.854,31676.064,34454.676,33556.81,0
17,55990.695,35486.125,34826.176,37098.22,40280.285,41899.934,50478.797,38322.668,41022.67,37672.984,40953.883,40364.645,44039.742,35859.24,32185.06,37507.766,43819.6,40544.105,40676.62,35259.543,36808.0,39676.64,41809.773,38726.867,36833.605,35563.168,37413.273,0
18,59621.68,34895.938,31325.607,28303.582,29704.729,32453.719,55827.91,30846.975,33091.82,32831.17,31039.568,29311.793,58703.215,30696.584,29757.75,30973.582,60676.297,27523.203,28020.943,31159.615,54197.984,29462.396,33352.473,33308.22,58248.09,30592.576,29017.748,0
19,43659.297,43572.6,46016.047,47836.08,50029.973,42820.938,43759.137,43242.668,41174.535,46027.45,45075.617,39425.2,39030.555,39555.387,42466.207,43470.816,43093.68,44839.84,45268.95,40915.562,39567.86,39387.223,40937.08,38261.97,37220.37,38046.348,48124.78,0
20,38954.637,38984.17,39231.594,41791.957,42752.516,32417.463,33919.08,44597.285,25262.533,25831.545,40384.758,37479.652,35937.934,38458.125,38832.277,37601.902,39449.664,34128.207,36592.56,37671.844,35653.82,38858.008,39213.367,38182.45,40007.562,44437.695,37202.207,0
21,49301.918,44552.457,44893.22,38746.258,37145.902,44624.184,39735.082,37845.28,40372.207,38590.824,41174.97,34983.207,35728.793,45269.707,47939.88,36545.4,36877.246,39169.492,40420.28,37502.26,39807.926,39114.984,52654.65,49722.742,44057.22,36922.695,40478.03,0
22,42184.215,39777.223,39886.63,37498.17,41904.664,42681.22,38164.055,38946.477,39327.44,38121.83,44232.434,38860.56,33893.54,43026.44,45885.316,37434.95,39120.37,39982.344,36284.492,42225.676,43414.977,38751.03,43737.24,44181.613,35205.96,31425.146,39674.242,0
23,37897.86,35448.832,38538.914,35854.465,35125.996,35142.86,35243.805,36227.47,38765.883,31703.844,35571.83,40747.055,36399.652,40275.785,36056.16,35016.137,34189.86,33494.77,31141.13,31526.438,34036.457,36938.99,35948.76,37337.523,39961.145,38476.26,34136.22,0
24,43439.594,35937.457,32206.31,38729.99,35385.465,37969.17,36896.56,40577.152,40554.04,34737.355,36947.008,38114.36,36864.25,38705.926,41227.49,41814.227,39930.742,40171.63,36460.87,37915.086,38641.22,37832.22,41414.766,39133.656,33532.996,40087.49,41606.523,0
25,36051.062,33187.09,34640.062,38317.836,34316.297,38321.35,36844.695,36548.99,34469.387,30912.902,34497.62,36174.543,36732.094,32618.703,38102.727,27887.44,30135.754,33701.695,33923.723,35090.29,37727.406,36178.6,39759.69,34883.79,36168.06,32773.85,36574.055,0
26,38829.086,44246.164,48271.676,41432.562,41261.586,42582.09,47769.277,39106.543,40918.367,45541.51,45546.625,40960.625,37780.203,45202.918,41927.28,45498.86,47611.203,47855.2,53180.285,44369.676,46101.35,43179.617,39730.84,39089.258,42716.44,36796.156,45357.49,0
27,43645.805,41942.152,42944.78,41932.03,37907.574,40624.76,42833.555,38952.98,41001.754,42859.39,42928.21,41912.43,38630.03,35911.215,37360.246,40994.97,38867.52,42355.78,40818.492,42571.73,41608.484,41785.38,43115.53,42226.29,43011.543,46000.65,41425.03,0
