,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Class
12,46455.688,47681.758,45964.133,47995.086,43115.934,45842.727,48013.473,51709.434,45883.496,44776.89,42001.37,40520.29,42133.414,47636.387,45388.867,45279.113,38295.75,0
13,32815.695,36785.46,40482.48,38352.973,35344.4,39761.65,42369.67,39477.117,44472.312,42363.15,38178.66,36797.32,37005.59,39738.867,40282.496,38376.88,39278.113,0
14,34022.652,34976.133,39420.766,41193.508,39725.375,42823.344,34826.418,33790.188,33819.336,36485.637,39134.812,40141.9,32740.152,34861.656,37408.996,36107.492,37924.145,0
15,26691.734,27488.87,29739.654,26794.59,26704.045,28263.145,25527.262,25980.814,31008.723,31897.309,30867.15,33304.22,31323.365,33272.895,32385.621,31599.94,29996.055,0
16,28018.584,32096.594,27962.59,28799.164,26677.662,30821.164,31153.174,33635.52,29634.373,28933.047,32660.695,32454.447,31844.164,34256.16,30352.127,29556.412,26241.9,0
17,41899.934,50478.797,38322.668,41022.67,37672.984,40953.883,40364.645,44039.742,35859.24,32185.06,37507.766,43819.6,40544.105,40676.62,35259.543,36808.0,39676.64,0
18,32453.719,55827.91,30846.975,33091.82,32831.17,31039.568,29311.793,58703.215,30696.584,29757.75,30973.582,60676.297,27523.203,28020.943,31159.615,54197.984,29462.396,0
19,42820.938,43759.137,43242.668,41174.535,46027.45,45075.617,39425.2,39030.555,39555.387,42466.207,43470.816,43093.68,44839.84,45268.95,40915.562,39567.86,39387.223,0
20,32417.463,33919.08,44597.285,25262.533,25831.545,40384.758,37479.652,35937.934,38458.125,38832.277,37601.902,39449.664,34128.207,36592.56,37671.844,35653.82,38858.008,0
21,44624.184,39735.082,37845.28,40372.207,38590.824,41174.97,34983.207,35728.793,45269.707,47939.88,36545.4,36877.246,39169.492,40420.28,37502.26,39807.926,39114.984,0
22,42681.22,38164.055,38946.477,39327.44,38121.83,44232.434,38860.56,33893.54,43026.44,45885.316,37434.95,39120.37,39982.344,36284.492,42225.676,43414.977,38751.03,0
23,35142.86,35243.805,36227.47,38765.883,31703.844,35571.83,40747.055,36399.652,40275.785,36056.16,35016.137,34189.86,33494.77,31141.13,31526.438,34036.457,36938.99,0
24,37969.17,36896.56,40577.152,40554.04,34737.355,36947.008,38114.36,36864.25,38705.926,41227.49,41814.227,39930.742,40171.63,36460.87,37915.086,38641.22,37832.22,0
25,38321.35,36844.695,36548.99,34469.387,30912.902,34497.62,36174.543,36732.094,32618.703,38102.727,27887.44,30135.754,33701.695,33923.723,35090.29,37727.406,36178.6,0
26,42582.09,47769.277,39106.543,40918.367,45541.51,45546.625,40960.625,37780.203,45202.918,41927.28,45498.86,47611.203,47855.2,53180.285,44369.676,46101.35,43179.617,0
27,40624.76,42833.555,38952.98,41001.754,42859.39,42928.21,41912.43,38630.03,35911.215,37360.246,40994.97,38867.52,42355.78,40818.492,42571.73,41608.484,41785.38,0
28,41726.043,40608.203,39482.797,40029.543,38515.85,45741.75,46720.902,40616.26,43288.8,42152.074,39039.61,40614.812,42315.555,45094.25,43295.617,43073.273,41632.69,0
29,36556.766,40766.715,38033.516,41458.688,39748.39,40837.547,38832.32,37527.145,43153.156,38922.02,39015.94,40092.227,37331.637,41646.082,43619.04,38318.8,32638.959,0
30,37444.59,40979.63,43316.086,40387.586,38800.63,44396.496,44964.637,42243.19,43678.57,43365.645,43173.742,41942.145,41346.484,41775.49,40665.484,38818.99,40042.83,0
31,38092.867,45627.133,39992.87,41398.73,36005.77,40469.137,39339.016,41926.844,44551.945,44886.812,43419.09,41284.61,38159.973,41358.664,37131.2,39234.67,34675.39,0
32,36561.906,37707.188,31305.012,28548.867,26346.89,34753.11,29913.053,32260.258,31433.111,29249.896,37692.863,32272.291,40464.863,36086.387,33728.41,37922.234,40786.883,0
33,42795.207,42149.38,38126.254,34730.72,38586.734,40991.77,38873.566,41606.555,38751.055,35887.117,38483.664,40832.96,38613.426,37747.598,38770.668,35749.363,38696.87,0
34,33712.125,34158.6,33814.484,31136.123,32749.438,37121.395,34623.047,35593.13,40937.68,38011.777,37536.656,39188.76,36041.203,35080.69,40447.965,39089.2,33636.7,0
