,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
145,3,4,41,20,29,27,43,21,2,1,0,1,41,20,13,15,45,65,1
146,12,12,20,38,28,36,30,18,17,23,36,37,50,26,30,23,19,53,1
147,21,15,16,19,23,24,16,21,11,11,9,15,14,17,12,14,9,11,1
148,8,7,6,8,4,7,2,3,4,7,7,3,3,4,1,4,3,1,1
149,22,33,31,47,51,40,2,23,34,22,15,30,22,38,23,19,16,7,1
150,7,11,10,9,15,16,5,11,17,21,20,20,24,22,32,31,24,13,1
151,1,1,2,2,1,2,1,1,1,3,3,1,2,2,6,3,1,2,1
152,48,50,43,44,51,7,49,15,23,33,43,31,47,41,51,66,28,37,1
153,43,32,41,50,37,26,14,32,48,47,36,27,37,40,34,40,43,36,1
154,39,48,50,45,53,6,7,15,30,45,26,27,31,16,21,16,65,58,1
155,6,5,4,2,3,3,3,4,4,4,4,3,4,3,5,4,5,4,1
156,7,8,6,4,5,4,2,3,6,3,2,2,5,2,2,2,6,7,1
157,5,12,20,20,24,13,13,24,20,9,15,24,25,23,25,16,19,11,1
158,3,2,2,5,7,1,1,2,7,8,3,2,1,6,3,4,5,2,1
159,46,50,8,11,20,20,17,49,50,19,41,9,23,41,21,31,33,15,1
160,52,25,17,19,22,18,17,12,32,16,21,36,20,16,13,41,34,14,1
161,38,28,31,36,37,31,20,19,27,21,24,25,39,24,24,30,36,21,1
162,38,47,1,4,46,56,17,12,56,49,20,32,40,13,28,19,6,16,1
163,2,4,4,4,5,2,2,3,1,1,2,4,2,5,9,6,7,4,1
164,14,9,9,13,18,13,2,7,31,29,28,34,20,27,31,27,31,35,1
165,6,8,5,39,53,18,42,13,25,40,54,33,29,17,23,30,16,19,1
166,7,7,16,17,26,40,14,3,2,2,4,4,7,5,3,5,26,21,1
167,21,7,13,26,5,15,18,4,9,6,2,6,5,14,4,2,6,28,1
168,20,20,18,49,54,33,19,11,22,13,9,28,7,27,31,18,21,27,1
169,4,2,10,8,9,2,14,16,11,14,12,12,7,19,17,10,12,14,1
170,0,0,0,0,0,0,49,37,39,33,25,42,39,27,17,26,6,8,1
171,26,21,20,28,17,21,32,22,29,33,17,33,35,25,18,17,26,15,1
172,8,8,6,14,14,10,21,22,48,42,3,36,34,45,60,22,20,5,1
173,22,15,17,16,21,14,17,14,15,29,23,28,24,26,20,24,24,18,1
174,5,8,3,3,3,4,5,7,3,4,2,1,3,7,8,22,17,3,1
175,27,26,1,7,32,43,34,31,25,21,22,39,39,24,18,20,25,46,1
176,3,5,7,11,16,3,8,6,7,12,10,7,9,3,6,2,3,2,1
177,5,2,6,1,1,1,3,8,9,11,9,8,5,1,2,4,5,1,1
178,1,5,5,4,4,4,5,5,2,8,9,20,13,7,16,12,21,3,1
179,12,13,12,2,2,1,1,2,2,5,4,5,6,16,8,13,15,12,1
180,1,5,6,4,5,5,3,4,5,3,4,3,2,6,2,7,3,4,1
181,11,6,5,3,5,10,5,6,7,4,6,6,5,3,2,1,2,2,1
182,2,3,4,1,2,1,1,1,1,1,1,3,2,3,3,4,3,5,1
183,44,34,32,21,10,7,7,8,8,7,14,4,4,4,5,4,7,4,1
184,5,17,11,7,3,12,8,5,10,9,6,4,8,8,9,9,9,19,1
185,5,10,8,10,15,14,11,9,17,12,12,35,29,28,20,13,20,19,1
186,1,1,1,1,1,1,17,20,15,10,13,30,29,64,54,34,62,64,1
187,8,7,7,7,4,2,9,5,3,7,6,10,10,5,5,3,6,11,1
188,8,9,8,9,17,12,9,21,18,24,15,6,14,30,27,9,19,5,1
189,8,7,8,18,24,24,12,20,29,20,27,31,35,40,40,34,36,26,1
190,25,24,34,32,29,37,39,28,26,36,22,22,17,20,38,30,27,48,1
191,38,58,57,64,56,43,2,1,4,4,2,1,2,1,4,4,5,5,1
192,13,20,26,36,25,4,35,33,37,22,20,28,28,27,34,28,39,32,1
193,17,25,1,1,4,2,2,4,5,8,16,7,11,10,19,16,11,8,1
194,38,47,28,29,25,36,57,34,31,27,25,28,24,25,21,24,24,39,1
195,38,40,48,45,50,50,44,34,42,25,20,1,1,1,1,17,25,13,1
196,1,4,6,3,1,1,1,1,1,1,2,2,4,4,5,1,1,1,1
197,2,1,2,53,53,1,53,51,1,24,27,1,2,7,56,54,1,2,1
198,32,27,21,7,2,1,5,8,6,11,11,2,3,12,11,9,3,2,1
199,24,23,25,18,16,3,17,13,10,12,10,16,20,10,13,14,14,19,1
200,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,5,4,6,1
201,4,3,4,4,5,4,8,7,1,1,4,4,4,6,9,5,7,6,1
