,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
90,14025,11730,14025,9435,12495,19635,14280,5610,9690,5865,4590,13005,18615,22695,18105,7140,6120,17085,0
91,230010,255255,182580,185130,215730,218790,204255,118065,134895,163710,173910,125460,81600,146625,206805,172380,375870,161670,0
92,92820,98175,105825,118320,143310,139995,144840,99450,109650,94605,93585,99195,99705,92565,73440,71145,75225,74205,0
93,75990,33915,36720,48705,45645,42330,33915,12495,22950,55080,60690,99705,26265,29580,50490,67575,72930,71910,0
94,23715,39015,35190,40035,65025,89760,16575,20655,24735,27030,21930,27540,22185,26520,24225,31620,41055,55590,0
95,199155,250920,270810,232815,199410,282030,213945,167025,243015,275910,297840,258315,218025,246330,296055,275910,262905,314415,0
96,20145,5865,9180,3570,1275,40800,147135,112455,6120,6120,136425,16830,23460,74205,40035,40290,17085,16830,0
97,108630,131580,145605,134385,119340,147900,223380,166260,156315,140760,99960,90525,68085,68340,117810,84405,58395,103020,0
98,47175,52275,45390,71655,64005,73440,24735,30855,31365,34170,30855,11730,13770,16320,43605,30345,29580,31365,0
99,30345,45135,40035,29325,32130,29325,106335,85170,92565,85425,83130,90015,82620,57630,54570,87465,101235,117045,0
100,1036830,763980,1015410,1074570,1284945,743580,734145,620670,248880,340425,274890,306000,129540,665040,231795,277440,124185,128265,0
101,150195,76500,61965,78285,97155,248880,88995,53550,55845,91035,129795,101745,93330,100470,149175,145605,146370,177480,0
102,148665,98175,147900,207315,169830,146625,241995,147135,168555,271320,357255,151980,68595,238935,99450,112965,135660,103020,0
103,186150,220830,167280,175185,208845,291465,174675,154020,163455,278460,172635,138210,100725,103020,147645,118065,69105,82875,0
104,33915,53805,48705,59670,53295,48195,24480,58905,35700,25755,2805,2295,5100,4845,2040,3060,2295,14025,0
105,13260,5355,6375,3315,4590,49215,7650,2550,2550,8670,8670,6885,7905,6375,12240,40035,24735,41055,0
