,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
75,706860,718845,635970,634185,851955,1265565,1410150,1021275,1402245,1536375,979200,809115,795855,930750,855270,753525,735420,1188555,0
76,1219920,1399950,1551675,1353795,1289280,1718445,1910205,1405305,1335690,1187790,1259190,1256640,1152090,1399185,1474155,1359150,1317585,1777605,0
77,2750175,2509965,1958145,2012205,3002115,4038690,3381045,2490330,2194020,2502060,2941680,2490330,2365125,2335545,2081055,2383485,3315255,3796695,0
78,838950,895050,1056210,906525,1244910,2431680,1217625,763470,738990,631635,773670,709920,321555,540345,1348185,737715,687480,2217990,0
79,2040510,2300865,1932900,1865325,2601255,4783800,5057160,3124770,1985430,1806930,1749810,1878585,1726605,1806420,1629450,1507560,1624605,2912610,0
80,1437180,1622820,2119305,1855380,1714875,2429640,1594260,964410,1148010,1542750,1482060,1455030,1750830,1777605,1480020,1068195,955230,1828095,0
81,637500,491385,465120,893520,3322905,5255295,1162800,462570,454155,488835,434265,545955,599505,309315,304215,467670,331245,799170,0
82,1385415,706350,97920,44625,152235,2856000,2907255,2138430,2007615,2050200,1958400,2017050,2423265,2308770,1879605,1894395,2036175,2761395,0
83,1213545,969255,877200,1495575,2680815,2734365,1801320,1028160,1024335,1149030,1021275,1391280,2765475,1641690,1259190,1591200,1594005,1947435,0
84,5008965,5042880,5083935,4987290,5181855,5537325,5408805,5038035,5304510,5603370,5271105,5342760,5157885,4822560,5142585,5274165,5063790,5360355,0
85,3819390,3940515,3894615,4191435,4345965,4769775,4844745,4034610,4164150,4057050,4069035,4273290,4254165,4569090,4644315,4680525,4664970,5018400,0
86,937635,536775,233835,481695,1649595,1706715,1021020,413610,676515,2198355,737205,653055,583695,712470,2447235,1028415,780555,1323450,0
87,980730,777240,651015,891990,2155005,2162910,847620,596445,957780,2594880,987360,704055,698190,1259700,1676625,728025,670140,1333395,0
88,0,0,0,0,0,0,66045,20400,24480,0,0,0,1899750,1441005,1049070,1154640,1844415,1841610,0
89,371790,420240,529635,888930,371025,572220,1040655,926925,1041420,583185,574260,478380,547485,1034535,576045,377655,313140,437325,0
90,644895,555135,592620,600525,396525,807585,944010,673710,513060,298860,347055,449565,619140,736440,596955,469455,284325,633165,0
91,4997235,5044920,4535175,4546140,4532625,4626210,4088925,3410880,3809190,4821795,4956180,3929040,3998145,4936800,5130090,5147430,5158650,4681035,0
92,2231760,2390625,2281995,2181015,2172345,2799900,2195805,1720995,1799535,1739610,1610835,1568505,1594260,1517760,1534590,1670250,1553460,1771485,0
93,2325600,1072785,1239300,1305855,529125,956250,979965,423810,833850,1610835,1817640,2130015,844050,717315,1639905,1847220,1266075,2108340,0
94,778770,922845,1175550,1700850,2491860,3580200,1073295,865215,500055,484500,554625,533715,416415,442935,814725,842265,975630,1735020,0
95,4070820,4594080,5002080,4219740,4158795,5148195,4309755,3812250,4736370,5082405,5003865,4931955,4454340,4678485,5213475,4937565,4940625,5444250,0
96,990930,1160250,877200,650505,467415,1162800,2471970,1620525,500565,493425,3061275,1401225,1375980,2281740,1633020,1981860,780810,856800,0
97,2929695,3256095,3203055,2903175,3175260,3509565,4008345,2927145,2149395,2328660,2915415,3241050,2661435,2669595,3354780,2599725,2515065,3674040,0
98,2710140,2615280,2190705,2608905,3660525,3750795,1462935,490875,791265,1669230,1062585,865725,581655,973080,1291575,539325,430950,815745,0
99,1403775,1691160,1035300,623220,836145,1432080,3048270,2428110,2652765,1878585,1521330,2083605,1617975,1138830,1472370,2682090,2622165,3306075,0
100,5561550,5347860,5534010,5861430,6139125,5524575,5296605,5025795,4815165,4815165,4654770,4724640,4627995,5190270,4656045,4516815,4274310,4337550,0
101,3443265,1762050,956505,873375,1109250,5455470,1336200,844560,795600,1160505,2349825,1329060,1270410,1314780,1628685,2628030,1781175,2397510,0
102,2434740,2280720,2518380,2647920,2699685,3170160,2433975,2123130,2317185,2539290,2637720,2260830,2176170,2254965,2169540,2221560,2159085,2278170,0
103,2527560,1953300,2149140,2252670,2508435,4338570,1874760,1600380,1881390,3286695,1996140,1383630,1006485,963900,1286475,1656480,916980,1040145,0
104,1965030,2667810,3518745,3018180,2456925,2858805,2598705,2019855,1643220,1305855,976650,586500,538560,792540,645405,786675,948090,1630980,0
105,756075,257550,156570,165495,174420,2434485,708135,241485,177480,288150,742560,263415,251430,254745,338130,1213290,767040,1400970,0
106,1493535,1351500,1321410,1553460,1466760,1689885,1245930,848130,1144950,1394595,728535,733890,784125,996030,1774290,1136280,883320,1224255,0
107,1954830,1257660,1064880,1111290,758625,1224000,1670505,882810,887910,1044990,913410,529635,505155,807330,907545,879495,943245,1494810,0
108,1598850,1076100,1141890,1824525,1621290,1800555,1254600,792795,1111035,1622820,1038360,1144950,1195695,1501950,1961715,1569780,1173000,1508325,0
109,2066775,1375725,1215840,1243125,1628430,2504865,2360535,1395870,939675,1129140,1498635,1224510,1329315,1162290,1282650,1853595,1420860,1646535,0
110,1422390,1349970,1534080,1642710,1543770,2122875,1629450,1178865,1445595,1549380,1509855,1428510,1283415,1188045,1109760,1232670,1293870,1907145,0
111,3290265,3205095,3295620,3416490,3258645,3604170,3313215,2694585,2852940,3337695,3083460,3012315,3213510,2987070,3018180,3337950,3175005,3457290,0
112,2768025,2747115,2815965,2986560,2759865,3162255,2894760,2107065,2402100,2883285,2542350,2573715,2713200,2530110,2822595,3066885,2724930,3108960,0
113,2820300,2789700,2764455,2861100,2980695,3299445,3203055,2967945,3112785,3154095,2987580,2913375,2851155,2747370,2669595,2737425,2958000,3239010,0
114,3005175,3063060,2936835,3060000,3131910,3267060,3164550,2912100,3026085,3179595,3288990,3182655,3057705,2977380,2966415,2864415,2819280,3151800,0
115,651270,462825,630360,1044990,1109250,1619250,2793270,1597830,1570035,1372665,1118430,1193400,559725,649740,2988855,2175660,1497105,1795965,0
116,2417400,2577030,3193875,3623040,3122730,3342795,2470440,1551165,2071875,1782450,1256130,1272960,1224510,983025,1392810,1809480,1240065,1836510,0
117,2057085,2337330,2386290,1989510,1884705,2727735,2571165,2373030,2879970,2377620,2279190,2270265,2241705,2141490,2251905,2328405,2286840,2972280,0
118,493170,415395,401370,587265,447015,756840,2455905,1080180,729300,788460,675495,523260,532950,1452990,705330,1045755,1076865,1487670,0
119,1800555,1609050,1565190,2363595,2557395,2781795,2094570,1454010,1366035,1539690,1718445,1576155,1536630,1350225,1222725,1351245,1420095,2017560,0
120,3275220,4027980,2820045,2103495,1778115,2396490,5538345,3722490,2820045,2980950,3804345,4446690,4237590,4405635,3771195,3133185,2872830,3400680,0
121,3896400,3760230,3720195,3716115,3843870,4250850,4346475,3479985,3351975,3596520,3534810,3699540,3841830,3767370,3772980,3753855,3688575,4050675,0
122,943755,886125,972315,915450,978945,1586355,1812795,1175040,1205895,1303305,988890,997050,761940,748680,810645,881280,825690,1497105,0
123,3986160,3959385,4220250,4993665,4649415,4747080,3848970,3424650,2636190,2534190,2998035,2465850,2622420,3833670,3947145,3035520,2915415,3819645,0
124,1972935,2500275,1920405,1781175,2022660,2650215,2050455,1400460,1371645,1583550,2833305,1579215,1495830,2283015,1781430,1666425,2004810,2481405,0
125,1012350,413100,243270,652035,612000,1211505,1125315,675750,506940,360060,325125,412080,525810,408765,404940,199410,29580,33150,0
126,2073150,2285310,2024700,1847475,1497105,2163675,2455140,1675860,1755165,1867875,2119815,2918985,3031950,2734875,2122365,2009655,1980840,2533935,1
127,3211725,3138285,3002880,2766750,2560710,3189795,3306840,3001860,3108705,2612220,2519655,2471460,2480130,2409240,2346255,2290410,2596920,3803835,1
128,3573315,3750285,4934250,4939605,5382285,5422320,4444650,4342650,4158795,3778845,3862230,3888495,3830355,3964230,4233765,4668285,4644315,4862340,1
129,3765585,3677865,3608505,3531240,3580455,3714585,3559545,3470550,3725550,4011660,3545520,3387675,3593460,3781650,3751815,3970350,4060110,4077705,1
130,3859170,3281595,3191325,3230850,2807550,3293580,3622530,3542205,3870900,3952755,3884670,3903540,3793635,3818115,3825255,3853815,3908895,3799500,1
131,3518490,3019200,3336420,3518235,3458310,3770685,2892210,2763690,3980295,3497325,2759355,3054900,2933010,2424795,2831265,3731415,3498600,3609015,1
132,4546140,4358970,4129215,4118250,4297005,4443375,4229685,4119270,4286040,4211835,4275075,4536450,4216935,4122840,4418640,4293435,3985140,4123095,1
133,3233145,2963610,2796585,2603550,2523990,2786385,2760375,2541075,2834070,2811630,2834325,2944230,2863140,2794545,2804745,2979675,2824380,2952135,1
134,3713055,4112385,4160835,4333215,4364070,4160580,3754620,3838515,4150635,3895635,3869880,4147830,4250340,4082550,3994065,4099890,4104735,4062405,1
135,1227060,2329680,2548980,2387055,2418930,3516450,4215405,4205715,4314345,4335000,4290630,3941535,3789810,3759210,3744165,3853305,3814290,3830100,1
136,4439040,4656045,5195625,5895600,6405345,6685335,6696810,6487200,6397185,6306915,6378060,6352305,6296715,6167685,5489640,4916400,4309245,3308370,1
137,4098105,4064955,4252635,5659215,5815275,5577615,3483555,2741250,3017160,5065320,5263455,5893050,5999385,6263310,5647230,5419260,6002955,6003210,1
138,2893485,2694075,2837640,3234675,3335910,3333615,3259155,3187500,3414195,3674295,3708720,3566940,3619470,3771195,3809190,3940770,4122075,3965505,1
139,4419915,3891810,3823980,3946380,3754620,4219740,4241160,3458310,3490440,3915525,3105390,3083970,3903540,3258390,3657465,4081530,3497835,4082550,1
140,4711125,4948275,4894980,4999785,4978875,5021460,4059600,2720340,2718300,2958255,3325200,3799755,3652365,3933120,3270885,3197700,2853960,3207645,1
141,3270375,3330300,3155115,3148995,3675825,4066230,3708465,3844125,3721215,3063570,2832795,3207645,3826530,3926745,4049910,4294200,4493865,4722600,1
142,1784490,960840,1165860,3413685,4705260,4348005,4187610,4682055,4607595,4593570,4853670,4980660,4843215,4814910,4665480,4416090,4351320,4705515,1
143,5523810,5383815,5425635,5853780,5965215,5953485,5140545,5045175,5581185,5549310,5450115,5222400,5225205,5400900,5324145,5506980,5221125,5428695,1
144,883830,348330,166770,82110,66555,691560,3316785,971805,229755,125460,133110,983535,190230,84915,25755,26265,24480,1556265,1
145,119085,104040,1878075,650760,834105,3241560,3052095,472770,61965,23205,2040,22695,1499400,669375,465630,526065,2827950,2832540,1
146,626535,677535,2084880,3557505,2503335,3104115,2609925,1784490,1468800,1804890,2894760,3528180,2087685,1880115,2161125,1788060,1629960,2390115,1
147,4271760,4532625,4988055,4817460,4910025,5147430,4944450,4721580,4557105,4833015,5363415,5188740,5057670,5055120,5064045,5401410,5537325,5657175,1
148,2619615,2611200,2717280,3277260,3335145,3661035,3719430,3603915,3672000,3742125,3814545,3853305,3633750,3582240,3705915,3552915,3596010,3794400,1
149,3823980,4498710,4602240,4425270,4371210,4656300,5973120,5103825,4438785,4253400,3870135,4190160,4762635,3917820,3354270,3669705,4514265,5401155,1
