,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
80,1346400,1553205,2163930,1844415,1649340,2879970,1722780,859350,1087830,1509855,1466505,1456815,1728390,1814835,1511895,1099815,966960,2067285,0
81,580635,470730,427380,821355,3856365,7465635,1266585,394740,374850,402390,378420,444210,536010,274890,281520,414885,297330,848640,0
82,1073040,528870,76500,37740,127245,3471570,3541185,2418675,2371245,2569380,2357730,2315655,2935050,2564280,1924485,2061930,2151690,3444285,0
83,1267350,964410,849405,1776840,3245385,3198720,2033370,1036575,1038360,1169685,1052895,1622820,3268845,1607775,1200285,1619250,1615425,2171580,0
84,8279850,8036835,8244150,8088345,8660820,9631860,10314750,9122115,9266190,9535215,8840595,8959425,8460390,7754295,8476455,8637870,8267100,9189435,0
85,5716845,5806095,5734185,6384945,6832725,7499295,7801725,6198030,6364290,6182220,6174060,6540750,6500460,6953085,7294275,7512555,7418460,8047290,0
86,918255,636225,240720,539580,1843650,1919640,1320900,503880,863685,2599215,888420,952170,850935,1032495,3189285,1397910,1154130,1975230,0
87,1181670,1072020,919530,1293360,2676225,2581875,1118940,814725,1292595,3219120,1243380,959055,954720,1689375,2004555,867510,852210,1720485,0
88,0,0,0,0,0,0,47685,20400,24225,0,0,0,2311575,1442025,1081200,1283415,2034645,1951770,0
89,398565,459000,597210,914430,406470,647700,1106700,932535,1079160,636735,654840,537795,617355,1095225,612765,428655,372045,524535,0
90,566355,475575,507960,513315,325380,831300,925140,511530,406215,239190,280245,365415,531165,648210,548250,384795,195840,593640,0
91,10410630,11073375,8716410,8357880,8263530,7735425,7082880,5427165,7003830,10523850,10648545,7152240,7046160,10616925,10969080,10545525,10775790,10750290,0
92,3272670,3354015,3285165,3068160,3052350,4030785,3230850,2482170,2484720,2386290,2227425,2220285,2132055,1893630,1945905,2000985,1834470,2245530,0
93,2655060,1092675,1351500,1297695,517905,1144950,1105935,396780,836910,1670505,1973955,2386545,829260,695640,1794690,1990785,1234965,2621400,0
94,916980,1076100,1359150,1931370,2946780,4741470,1272960,940950,627810,637755,644895,593130,487305,510510,851700,900660,1096245,2041275,0
95,5014065,6175335,6766170,5256570,5208375,7393725,5659725,4699395,6305895,6992100,6817425,6643005,5722200,6188085,7282290,6699105,6795240,8001135,0
96,965940,1127100,894795,585225,422535,1463700,3397110,2300355,508980,521475,4993920,1561875,1589415,2811120,1777605,2366655,779280,870570,0
97,4731525,5291760,4868715,4562970,5243565,5656155,6554010,4455105,3376710,3798225,4762635,5055630,3463155,3879060,5812215,3752325,3303270,5181855,0
98,3236460,3006450,2458200,3233655,4927365,5102040,1611345,510000,912900,1925505,1106190,860625,547995,1044480,1444575,559470,474300,982515,0
99,1533060,1945395,1263270,749190,957525,1666680,4135845,3375945,4220505,2641035,1867875,2838150,2023935,1389495,2034900,4057560,3689085,4857750,0
100,7628580,7776735,8418315,8551425,8568255,8178615,7970790,7383780,7116285,7097925,6749085,6814620,6884745,7553355,6967365,6449970,6051150,6304110,0
101,4202655,1898475,1080945,1124550,1427235,8113590,1680450,1061055,1071255,1559580,2898075,1773780,1797495,1934685,2412810,3506505,2535465,3493245,0
102,3839535,3338460,3934650,4189395,4202655,4991880,3590145,3094935,3732435,4095810,3842595,3420570,3358605,3336420,3216570,3226260,3265275,3473610,0
103,3737790,3065610,3402465,3019200,3464940,6776625,2879970,2358750,2913885,4986015,2716005,2015265,1472115,1366035,1957125,2146080,1194165,1357875,0
104,2164185,3856620,5152530,3616920,2912100,3386655,3085755,2434740,1807185,1292595,864450,508470,537030,668100,610215,754035,919530,1707480,0
105,674985,234600,158610,169575,173400,2906745,711450,253725,178755,307530,700485,234600,260610,287640,386580,1489200,830025,1486140,0
106,1948965,1691670,1684020,1933665,1761795,1968600,1583805,1046265,1341045,1551420,849405,881025,962115,1242360,2137920,1423920,1215840,1640160,0
107,2345235,1371645,896070,880515,589560,1140615,1647555,746385,722670,897600,708135,452880,428400,766275,749445,705585,779790,1467015,0
108,1739610,1225275,1328805,2079015,1816110,2110125,1473900,978945,1253070,1856910,1258680,1437180,1499400,1868895,2420205,1888020,1464720,1809735,0
109,2525775,1760010,1617465,1603950,1960695,3245385,2826675,1628685,1246440,1473645,1826565,1448145,1562130,1423920,1528470,2203455,1707990,2093295,0
110,1350480,1288515,1491750,1651890,1576410,2419950,1723800,1144950,1418310,1565700,1503990,1439475,1277805,1196460,1122510,1242360,1278570,2064990,0
111,3901500,3718665,3987435,4225605,3781395,4480860,4320720,2929185,3155370,4113915,3500640,3317295,3667410,3293070,3551130,3933120,3559800,4351575,0
112,3093405,3097485,3243090,3445560,3003390,3791085,3537615,2233545,2726205,3400170,2728245,2736915,2992680,2715495,3138540,3575610,2965395,3724530,0
113,3355800,3308370,3242835,3462135,3783690,4432155,4282980,3759975,4177410,4278645,3752580,3522825,3443265,3293325,3226005,3381810,3868605,4599945,0
114,4312815,4426545,4048125,4405380,4497690,4670325,4448475,3958110,4159050,4549455,4861065,4428330,4091220,3913740,3786240,3654405,3529710,4258755,0
115,570180,420750,751740,1194930,1339260,1985175,3176025,1667700,1743690,1647555,1515975,1661070,636735,757095,3606210,2466105,1728135,2085390,0
116,2873340,3145425,4900335,6050130,4395180,4583625,3213510,1594005,2632875,2069070,1247460,1269135,1246440,963645,1516230,1949220,1193400,2039235,0
117,2443920,2996505,3165315,2458455,2321265,3718665,3553935,3270120,3936180,3261450,3083970,3126300,3049035,2985285,3242070,3307860,3181890,4314600,0
118,482970,439365,388875,574260,466650,833340,2751450,1219410,845580,823140,640560,532695,563295,1300500,663255,1513425,1766895,2234055,0
119,2181015,2059125,2029290,2984520,3093405,3471060,2866710,1994610,1789335,1830900,1939275,1758480,1685805,1445340,1293870,1401735,1487925,2203455,0
120,4404105,5506980,3446835,2518380,2196570,3157410,8702385,5038290,3510840,3976980,5710470,6660855,6407130,6489750,5240760,4430370,4128195,5000295,0
121,5326440,5058435,4941135,5018655,5247900,5812725,6021825,4565010,4406145,4853925,4752945,5030130,5290230,5114280,5087505,4997490,4937055,5596230,0
122,911625,856035,955230,870825,992970,1750575,1840080,1091145,1133220,1326765,1021530,1006995,835635,775710,849150,908820,903465,1590690,0
123,6167685,5623005,6235005,9212130,7273875,6973995,5811195,5146155,3769920,3449640,3956070,3287205,3612330,5687265,5604900,4124880,4062915,5536305,0
124,2195040,2811375,2207535,2105025,2385015,3322650,2532915,1800300,1894140,2112165,3366000,2068305,1846455,2622165,2401845,2230995,2592330,3271905,0
125,837675,294780,168045,528870,599505,1250520,1211760,697935,602055,457980,425340,526575,574260,460785,518160,187170,26010,35445,0
126,2007360,2183055,1929585,1774800,1442790,2303925,2666790,1635825,1800555,1911480,2224110,3165570,3233145,2906745,2205240,2097885,2058615,2872320,1
127,3803325,3692145,3502680,3262215,3018435,4000950,4002735,3423120,3545520,2820045,2734620,2661945,2711160,2614005,2518890,2451825,2901390,4943685,1
128,5417985,6004995,9319740,9073920,10862235,11396970,7672695,6955125,7204260,6515250,6468840,6467310,5504175,5657430,6954360,8126850,8350230,9945510,1
129,7057125,6533100,6783255,6655755,6402030,7059930,7016070,6529275,6763875,7469970,5798190,5266005,5760195,5962155,5894070,6607050,7166265,7087470,1
130,7308555,5737755,5602605,5138505,4072095,5323890,6339300,5856840,6739650,7149945,7462065,7316970,7001790,6968895,7042590,7290195,7379445,7373070,1
131,5612550,4313070,4975050,5361885,5155845,5548545,4231215,4345455,7017600,5390445,3694185,4328115,3951990,2946780,3751305,5963175,5388660,5798700,1
132,8566215,7958550,6735825,7002045,7811415,7909590,7990935,8589165,8884200,8429790,8369100,9387060,8083245,7591605,8834475,8458605,7275915,7417950,1
133,4881975,3981060,3496560,2918985,2875380,3712800,3535575,2999565,3712290,3692910,3759210,4152675,3777825,3319590,3407820,3973410,3577140,3907875,1
134,5846640,8368845,8205645,8728140,8803620,7290195,6681510,8000370,9349575,7665810,7185390,8822235,8361195,7617615,7245315,7902705,8437950,7123425,1
135,1289790,2875125,3509565,3786240,3542715,5464905,7963905,8081970,8148525,8264040,8358645,6539475,5070420,5440170,5731125,5581950,5481735,5541660,1
136,8709525,9405930,11047110,12278760,12202515,12028095,12259890,11844750,11299050,11310270,11871015,12228525,12452925,12514890,12637290,12423855,12434310,12738525,1
137,10880085,7026015,6857205,10221420,10496055,9907005,5631165,4156245,4612695,8505270,8759250,10173225,10781910,11861325,9847590,9310815,10936695,10688070,1
138,8632515,7549785,7177230,8164080,7676520,7677540,7945800,7659945,7764240,8049585,8188560,8142660,8140110,8181165,7872105,8099055,8482320,7909590,1
139,8053920,6346695,6025140,6350520,5360865,6317880,7594155,5499075,5479440,6378060,4054245,4191435,6606030,5634990,6472410,6968385,4901355,6016470,1
140,8574885,9130530,9014760,9154500,9025470,9105285,5999640,3118905,3316020,3677100,4342905,5478675,5123970,5818335,4322760,4384725,3638085,4166190,1
141,5596740,5539365,4335765,4004520,5480460,6816660,6276825,6756225,5957565,4209540,3917055,5242035,6545340,6355620,6946200,8026890,8438715,8289540,1
142,1891590,998325,1171470,5267280,9471720,8289285,8080695,9325860,8976000,8818920,9248850,9598455,9602280,9532920,9423270,8115885,7819065,9264915,1
143,9644355,8739615,8643225,10556745,11460975,10801035,8565960,8437440,10171950,10230600,9907515,8737830,8694735,9296025,9053520,9644100,8366550,9158580,1
144,1009545,321810,160905,84660,67575,810900,4838370,787950,164730,97920,130305,1161525,149685,72675,21420,23205,25500,2076210,1
145,105825,113730,2247315,507960,674475,4615245,4357185,381480,52020,16830,1785,26520,1707225,541365,414630,581400,3280065,2834835,1
146,759645,913410,3124770,5120400,3283125,4231725,3493245,2332230,1770465,2176170,4161855,4946745,2322030,2274345,2619615,2282250,2155260,3046995,1
147,5685480,6171255,6730470,6330375,6446910,7124190,7112970,6454815,6267645,6933960,8059020,7495725,7304475,7291725,7236135,7581150,7860120,8296425,1
148,4666755,4576740,4914105,6026670,6056250,7061205,7403160,6756480,7040805,7391175,7243530,7433250,6813345,6837060,7337370,7042080,7339410,7838955,1
149,5724495,6874800,6728430,6269685,6306405,6878625,9639765,7707120,6455070,6348225,5888715,6460425,7067835,5482755,4975815,5671710,6822270,8842890,1
150,5839755,5954505,5579910,5476890,5371320,5770140,6210780,5318790,4731780,4487235,4425015,4083060,3875490,3795420,3551385,3365235,3776295,5378205,1
151,7711200,8737830,7879755,7539585,8124810,8685555,8768685,8578965,8322945,7569165,7550295,7757100,7952685,7464105,6174060,6517035,7902450,8530260,1
152,5796405,4364835,4471680,4177665,4612185,8731200,4573425,3592185,4062660,6163605,4749630,4082040,5100510,4614735,4794765,5212965,3754620,4582605,1
153,4148085,3737025,3276495,3250740,3176790,4248300,4890135,3711270,3177300,2714985,2436525,2484465,2769300,2929695,3531750,2346000,2208810,4085610,1
154,2913885,2737425,2727225,2155005,2089725,6203895,5888205,5369280,3511605,2878950,4313325,4611675,4551495,4695825,4710615,5196645,2752725,3005940,1
155,858330,833340,4674405,7972320,8013630,7862670,7274640,7280760,7472010,7592625,7505160,7535250,7902195,7895820,7942230,7469970,7253730,7614045,1
156,7813455,8279850,9141495,8083500,8628180,11043795,10738815,10414965,10503450,10738560,11137890,11145285,10347900,10184445,10564650,10504725,9401595,9038985,1
157,7758630,6777390,6346950,6296205,6293145,7353945,7914945,6665190,6431355,6564465,6568800,5817570,6071040,6747810,6336240,6801360,6717720,6922485,1
158,8790105,9176685,8827590,7350630,7462320,8445855,7529130,7368480,7362870,7470735,8683005,9020625,8089875,6662130,7435035,9623190,9749415,9893490,1
159,884595,3527160,6552990,6215625,5540385,5260395,4601985,1475430,1371390,3609525,1296930,175185,457725,3818370,2976615,2428875,3148995,4833780,1
160,1335945,1601655,1625115,2169795,3849225,4082550,3480240,2581365,1804380,1692690,1460640,1549890,1543770,1488690,1549635,699720,765765,5519730,1
161,2099925,1958910,1404795,1451460,1891080,2503080,3580965,2861100,2874870,2857020,2859060,2763945,2153730,2352120,2581110,2576265,2530875,2986560,1
162,1365270,816255,78030,72420,1529745,2275620,988890,727005,1209210,1106700,1001895,651270,791520,888165,855780,377655,117045,1428255,1
163,6448185,6830430,6287025,6627195,7513830,7110675,7446510,6988785,6002700,6540750,6471645,5871885,7069110,6044775,5367240,6717210,5699505,5516925,1
164,6101640,6024630,5621985,5460060,5222655,5731635,7657395,5627085,4412265,4224075,4048890,4033590,3938730,3945870,4129725,4211835,4293690,4979130,1
165,6947730,6405090,6623880,3469785,2886090,4899825,1446870,778005,1234965,3657975,2151945,1586100,1975740,1860225,2357220,4024920,3007980,3560565,1
166,11562465,11489025,415140,414630,1889295,1519035,5363670,10324185,10037820,10737285,6435435,6581805,9645375,9043575,8698560,8263275,4475505,4756515,1
167,852210,551055,674220,959820,393465,677535,838950,514845,627045,579360,522240,609450,722670,948600,724710,779280,847875,2077995,1
168,2172600,1993845,2468400,4713675,3572040,4135590,2192490,2000730,2581110,1807695,1536120,2277915,9413835,3066120,1690905,1764600,1932390,5640855,1
169,8522100,7728795,5552370,5944560,6296715,6414780,5881830,5593680,5932830,5872395,6599655,6249540,6312015,6092205,5605920,6517290,6854145,7013520,1
170,0,0,0,0,0,0,1464720,805290,1149285,838695,670905,938145,826710,592620,529380,705330,126990,145095,1
171,2885070,2751450,2797860,3056940,2706570,3715860,3236715,2535210,3009510,3892320,6517545,4914870,3521295,2882265,2976105,4064190,5441700,7414380,1
172,8441265,8242365,7786680,4931190,4779210,7284075,2866200,2667300,3377475,3599580,6137085,4049655,1808205,2130525,2768790,1159485,1392300,5731635,1
173,4326840,4430625,4776150,4419405,4370700,5875965,5599290,5053080,4991880,4125645,3670980,2966670,2352630,2189940,2820810,3190560,2692545,3661035,1
174,8573865,8742675,9220290,8737575,8091915,8213295,6931410,6312525,7440645,8124810,7742310,8288265,7722675,6611895,6196500,4933485,4729995,6409680,1
175,1152090,1116390,12289725,8468295,5044665,5158650,3392010,1956615,3784965,5675025,4598670,4195005,1079670,933555,4084845,4217445,2523480,3400680,1
176,8352015,8369355,7482975,7050240,7361595,8363490,8343600,7353180,6830685,6733020,7096905,6858990,6820485,7564065,7286880,7876440,8181165,8246445,1
177,8301780,8114865,7879245,8597070,9310560,9398025,8450700,7849920,7810395,7421010,7227975,7518420,7555905,7928715,8268630,7865730,7796370,8667705,1
178,8288010,7565340,7197120,7360065,7262145,7135665,6864600,7045140,7614810,7299885,6394380,5760960,6640710,6587160,6061605,6112605,5938440,6919680,1
179,3774510,4571895,5528655,6987510,7593900,7843290,7937385,7921065,7514340,7046415,6945180,7153770,6839355,6285750,5814255,5934360,5879790,6220470,1
180,6324255,6711090,6648360,7211910,7942230,8074320,8028930,7988895,8125575,8039640,7159635,7034940,7779795,8056215,8092680,8112825,8007000,8058765,1
181,5428185,5511315,5081130,5318025,5425125,5991735,5926200,5873925,7015560,7357770,6593280,6264840,6458640,6740670,7201710,7447530,7300140,7486545,1
182,8246700,8161530,8489715,9231765,9175665,9062955,9191475,8192895,8005725,8830395,8747520,8022300,7763985,7658415,7320795,6912540,6715425,6987000,1
183,2883285,1932900,2174640,4558380,5887185,5987655,6176610,6074100,6990825,5778555,5315220,6318645,7297080,6737100,6577980,6452010,5231070,5633205,1
184,314670,665040,749445,331245,281010,623985,627300,413355,585225,421260,419730,253215,321555,623475,497250,319260,383775,1209210,1
185,6395910,5673750,5402685,5372085,4711380,5430225,5194605,4641765,4583625,4705005,4065465,3551385,3656955,3669450,4304400,4726935,4088925,4500750,1
186,10907625,11017530,12219600,12174465,11055015,9944490,7357515,5951190,7113990,7854765,6174825,5026050,4342395,2954940,2607375,2536995,1647300,2965140,1
187,8741910,8572845,8810250,8355330,6508620,6153660,6188595,6247755,6823290,5640600,5762235,5557980,5376930,6794730,6544320,6092205,5727555,5514375,1
188,6651930,5677575,5595465,5525340,4946490,5690580,5574045,4586685,4839135,4769265,4615755,5475105,5638815,4482135,4834545,5340210,5115300,6114135,1
189,5261160,5217300,4756770,3999930,4163895,5198175,4661655,3963975,3840555,3738810,3405525,2845545,2926890,3014865,2910570,2698665,2587485,4029255,1
190,2928930,2477835,2603295,2136135,1741140,2380935,2343705,1516485,1490730,1576920,1326000,1241850,1159995,1153365,1633275,1407855,1145460,2043570,1
