,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Class
28,577.0842,792.1635,847.5584,687.4373,1904.4668,2514.683,1091.8083,1213.0277,1385.4982,1007.7441,961.1627,1225.7045,899.4518,839.71454,783.83875,995.37964,1236.4434,0
29,150.97586,485.25934,87.25819,125.366066,195.34273,1806.3265,177.10835,166.26288,458.61682,78.71156,68.29504,363.46906,90.376526,46.154068,89.51042,139.70543,123.08323,0
30,428.5872,442.41104,1653.284,767.4586,847.9238,2993.9773,763.7829,800.6569,1172.7823,796.4173,825.37286,1376.4246,924.6065,799.9883,956.8449,726.56305,826.2303,0
31,432.38824,365.42908,316.8657,371.86948,489.326,1696.6226,486.16064,411.30472,387.13022,368.1906,455.76797,400.2457,307.72977,309.07596,264.22528,434.97272,502.96417,0
32,376.5276,385.10577,1486.5793,614.1598,629.6627,2517.936,778.95654,725.5372,701.1067,674.09174,1369.7158,762.42004,968.49744,504.99982,625.2255,768.27704,720.204,0
33,670.34235,964.14056,713.5544,469.80634,618.8804,2510.7585,738.22144,816.9574,793.6921,526.28815,565.4246,446.62875,1050.1051,605.94794,679.98816,825.83496,613.8215,0
34,4247.5205,8435.681,4301.1113,3776.3005,3411.9333,4392.817,4292.197,3752.602,4702.175,3812.029,4207.1797,6204.707,3447.9731,3852.7393,3119.8652,4467.703,3364.7988,0
35,748.6817,848.10425,1305.4442,2768.53,1996.9425,3555.115,1996.4664,2058.626,3895.743,2089.4407,1569.8176,1868.7266,1406.4417,2240.183,1981.2908,1331.2177,1467.7617,0
36,1944.2164,1087.9642,680.94714,1038.7869,1739.4509,2185.8335,1107.2505,1100.1205,1735.5723,3268.9219,2161.867,1571.158,2091.971,1956.3661,2672.1636,2645.107,2507.8154,0
37,177.82555,185.78911,724.64606,248.61783,275.3105,1704.5701,166.80716,154.24092,976.0567,205.01613,293.10092,315.8381,257.8136,265.7632,449.47366,225.86879,314.67163,0
38,1876.1396,1729.9917,2626.696,5229.542,2181.0583,4157.72,2719.337,3271.9312,2671.7524,1449.769,1868.7269,1871.964,1054.7183,1886.9946,1239.6143,1542.7189,1852.7244,0
39,1233.1099,1133.58,1279.7781,1888.4243,1892.5831,2273.3606,1683.5029,2730.3062,1606.34,5849.2856,2221.6873,1305.3395,1365.6212,3834.9956,1319.4413,1623.7229,965.4982,0
40,437.0409,311.11096,236.2486,356.32574,407.3933,2263.9802,334.02817,338.25146,434.75497,234.54071,608.53955,473.32196,459.9488,1110.2129,533.4739,612.87317,595.63684,0
41,2169.1626,3756.4976,3795.8257,8403.363,5902.644,16043.216,13263.709,7352.722,9639.208,20917.045,11704.258,10258.058,7034.3623,5300.5576,3277.8481,3979.6672,1281.0895,0
42,1180.6696,864.77325,2574.4302,2653.7212,28067.16,57259.08,10284.818,6977.029,8773.556,6187.4355,9512.3,9561.144,3268.5264,3038.9592,7226.433,2214.2275,2002.1838,0
43,584.0127,825.1546,761.0646,936.19006,631.0546,1648.5789,622.934,509.8612,481.68915,460.40643,718.2456,372.06958,322.3618,409.81885,294.8168,400.53574,391.09265,0
44,1862.8802,796.22504,1031.4036,1253.284,1642.8364,2389.4048,3035.2842,2413.803,1852.9404,1666.4653,2116.6184,3331.6252,2078.4604,1306.5393,696.4759,943.04114,621.95856,0
45,843.75745,882.8702,1599.2278,724.8357,1919.7999,2376.8433,4367.3906,10300.379,5414.729,6001.3774,10483.218,5160.181,5545.1006,5719.9497,7911.336,7655.364,5507.741,0
46,713.09784,594.36505,817.0155,621.6552,692.7765,2422.1323,696.5371,631.90186,586.3503,568.2299,452.64722,846.59546,752.71497,714.80835,536.2782,517.5628,586.5443,0
47,872.8357,732.0236,898.833,615.8272,710.07446,2020.127,781.02484,729.2227,910.5378,968.7486,554.05945,518.3908,465.49704,434.7962,954.0574,492.81097,516.9905,0
48,586.7485,1150.9373,1234.2761,2331.2478,2011.1112,2249.246,405.7401,649.84204,2695.7913,483.22284,248.18127,297.34717,310.36295,1913.8359,380.6622,226.85321,331.25208,0
49,6477.4653,2808.0771,2412.9773,1988.0037,2172.0115,3840.973,4475.2236,1680.8643,1838.4543,1575.623,1383.9448,1576.0027,1281.154,1343.0071,1223.3232,1178.2944,1212.2051,0
50,252.70442,144.18758,215.68997,834.16235,904.34155,1359.3834,239.4013,264.30853,275.79468,2067.8894,257.8315,155.70348,182.51929,201.98407,1890.2301,279.78204,279.2376,0
51,4669.296,1197.5281,1561.9135,2386.8848,1750.7905,3390.2878,3859.6526,2544.4226,1635.4358,5174.9717,4359.7686,2289.199,3071.5515,4085.9246,5750.6323,947.1797,1725.055,0
52,9602.005,59128.625,68077.84,99753.56,10272.66,6653.978,5143.529,3333.9626,3749.8618,10530.785,17326.621,2106.3093,2165.2026,2016.7662,3515.994,2141.0337,1893.4844,0
53,658.6313,429.413,568.44025,814.1696,629.9128,3070.8691,430.54312,378.83643,488.33978,325.41953,554.7213,871.4781,249.26613,336.6767,808.8091,408.6509,449.50925,0
54,1582.5955,4857.9443,2110.6172,485.53076,562.2091,8225.964,3719.3958,5017.7466,4868.09,2933.0017,4823.1035,7578.85,5407.304,2498.7268,3817.317,5284.2324,2780.7922,0
55,911.5161,765.4122,1036.0706,478.98526,730.6609,2650.7754,733.2185,1056.2043,3658.8003,2602.138,7769.0566,25202.234,27680.195,14529.695,11116.455,11401.609,16050.815,0
56,3520.7983,3247.3193,3661.0286,3687.0935,3501.353,3765.4426,3543.5918,3441.417,3125.3147,3129.652,8217.236,9015.645,12700.109,10916.396,2847.5413,4241.312,5037.438,0
57,464.3098,790.16046,567.27386,378.71494,328.54752,1749.1752,651.97363,1079.2642,286.67566,260.89514,437.10614,1093.3435,253.13824,98.36955,113.80289,672.8402,538.2548,0
58,871.7776,1002.9507,638.1693,493.87372,612.9732,2565.646,1964.3989,4931.091,1621.4009,990.2683,964.3145,1247.599,1107.8276,881.52344,1254.9452,5616.421,1963.3188,0
59,897.7791,920.4829,931.24786,2523.2354,844.6425,1909.6045,578.5579,614.2311,520.37177,506.843,843.52734,1335.3533,683.87683,835.2817,621.8162,954.9022,1358.0024,0
60,293.15744,463.81372,307.30075,221.69589,232.70724,1994.8448,327.98978,161.40848,167.65993,195.9704,94.39774,118.173965,243.47533,150.37064,203.41754,177.93903,268.7173,0
